IntervalID,location_ID,street1,street2,street3,latitude,longitude,type,Date,Day,period_begin,period_end,Interval_Begin,NS,SN,EW,WE,SpecialNeeds,Skate,Child,Other_Var1,Other_Var2,Other_Var1_Count,Other_Var2_Count,Count_Method,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,dataset_name,pk_physicalenv_id,pk_countocc_id,createdatetime,username
13778,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,2,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13779,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13780,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,1,1,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13781,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,29,0,0,0,0,1,22,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13782,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,132,30,0,0,3,0,81,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13783,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,1,36,0,0,3,0,9,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13784,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,3,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13785,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,4,2,0,0,0,0,1,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
13620,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,5,4,0,0,1,0,2,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13621,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13622,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:30 PM,5,2,0,0,1,0,1,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13623,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:45 PM,0,1,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13624,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:00 PM,0,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13625,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:15 PM,0,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13626,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:30 PM,0,0,0,0,0,0,0,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13627,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:45 PM,0,4,0,0,1,0,1,,,0,0,manual_in_house,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
13636,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,1,0,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13637,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,1,0,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13638,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,0,0,2,4,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13639,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,0,2,4,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13640,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,0,0,7,4,0,1,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13641,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,0,8,3,1,3,4,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13642,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,0,1,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13643,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,0,0,4,1,1,0,1,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
13644,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,7,1,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
13645,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,3,2,0,0,0,,,0,0,manual_in_house,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
