IntervalID,location_ID,street1,street2,street3,latitude,longitude,type,Date,Day,period_begin,period_end,Interval_Begin,NS,SN,EW,WE,Female,Sidewalk,Wrongway,Other_Var1,Other_Var2,Other_Var1_Count,Other_Var2_Count,Count_Method,Count_BikesOnSidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,dataset_name,pk_physicalenv_id,pk_countocc_id,createdatetime,username
19203,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,11:00 AM,0,0,0,1,0,0,1,No Helmet,Child,1,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19204,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,11:15 AM,0,0,1,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19205,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,11:30 AM,0,0,1,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19206,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,11:45 AM,0,0,2,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19207,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,12:00 PM,0,0,0,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19208,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,12:15 PM,0,0,0,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19209,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,12:30 PM,0,0,1,0,0,0,0,No Helmet,Child,1,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19210,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-03-2016,Saturday,11:00 AM,1:00 AM,12:45 PM,0,0,0,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2893,2017-07-17 15:08:00,wes@bikesgv.org
19187,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-22-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,0,0,0,0,0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2891,2017-07-17 14:22:00,wes@bikesgv.org
19188,1025,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.0359432,-118.0399927,midblock,12-22-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,1,2,0,3,0,No Helmet,Child,3,1,manual_in_house,Yes,no,,none,,minorArterial,40,neighborhoodRetail,133,BikeSGV SEM,1557,2891,2017-07-17 14:22:00,wes@bikesgv.org
