city,female_perc,female,total_count
MPK,0.5,6.0,12
E. Pasadena,0.4392156862745098,112.0,255
S. Pasadena,0.4078014184397163,115.0,282
Claremont,0.39325842696629215,35.0,89
Altadena,0.36300174520069806,416.0,1146
